Channel,Peak viewers,Followers gained,Views gained,Language,T
xQcOW,222720,1734810,93036735,English,449
summit1g,310998,1370184,89705964,English,376
Gaules,387315,1023779,102611607,Portuguese,778
ESL_CSGO,300575,703986,106546942,English,977
Tfue,285644,2068424,78998587,English,748
Asmongold,263720,554201,61715781,English,465
NICKMERCS,115633,1089824,46084211,English,970
Fextralife,68795,425468,670137548,English,621
loltyler1,89387,951730,51349926,English,762
Anomaly,125408,1532689,36350662,English,424
TimTheTatman,142067,1244341,50119786,English,932
LIRIK,89170,199077,50504526,English,719
Riot Games (riotgames),639375,497678,56855694,English,805
Rubius,240096,3820532,58599449,Spanish,824
auronplay,170115,3966525,41514854,Spanish,439
MontanaBlack88,181600,1101093,37189666,German,128
sodapoppin,107833,236169,39334821,English,50
풍월량 (hanryang1125),26999,92205,34405975,Korean,934
alanzoka,89153,1325075,46515698,Portuguese,90
CohhCarnage,43615,124242,38718674,English,702
Lord_Kebun,34830,137215,19645967,English,85
LCK_Korea,140557,255088,76225485,Korean,626
Castro_1021,125133,550678,22672980,English,315
DrDisrespect,97540,825004,43919410,English,395
TheRealKnossi,288459,1082039,25342894,German,990
TheGrefg,538444,3593081,47094362,Spanish,977
YoDa,123796,383130,38499423,Portuguese,207
Pestily,168112,520342,24029726,English,642
한동숙 (handongsuk),44976,73602,30610352,Korean,219
GamesDoneQuick,234826,113469,43345080,English,309
Solary,24470,143569,48799554,French,469
Gotaga,81644,632118,39591707,French,330
MOONMOON,24892,95776,13505898,English,215
DrLupo,90696,567795,47295386,English,76
OgamingLoL,204491,115965,71583995,French,677
Myth,122552,1421811,37384058,English,176
Evelone192,106900,826433,47400543,Russian,777
nl_Kripp,29316,96793,20034033,English,214
LEC,305119,551345,25924096,English,54
dota2mc_ru,182869,156721,38774178,Russian,423
Fresh,57431,1875187,25341820,English,333
LCS,214124,526244,28313058,English,943
ROSHTEIN,45843,242369,17836875,English,302
ibai,173238,1602088,44178173,Spanish,3
TFBlade,35833,450146,35978104,English,936
Sardoche,144066,370358,32261961,French,879
LCK,171861,307853,28970100,English,690
Yassuo,70587,689957,32362117,English,120
HasanAbi,44649,340810,14154952,English,795
BeyondTheSummit,116547,114948,42403593,English,718
Dota2RuHub,105359,126221,43831479,Russian,78
Bugha,66311,2220765,49441744,English,735
RocketLeague,206681,412101,57189129,English,828
csgomc_ru,364816,447601,42952835,Russian,770
Clix,81926,1687923,33286370,English,775
Gorgc,56449,136943,20882507,English,778
서새봄냥 (saddummy),25482,97615,30550147,Korean,628
NoWay4u_Sir,24286,108832,23037239,German,164
RiotGamesBrazil,255542,325801,33796768,Portuguese,926
JLTomy,42079,277529,13890640,French,241
SolaryFortnite,46710,447191,26737542,French,504
ONSCREEN,88516,669348,22820310,English,887
AdmiralBahroo,21053,72454,12853095,English,443
Quin69,36742,87860,19512632,English,344
Trymacs,50957,582089,21254933,German,117
dasMEHDI,47683,76568,7422911,English,241
sneakylol,22759,183911,17820367,English,730
NickEh30,85073,1445590,39439261,English,852
fps_shaka,26572,128907,21331882,Japanese,148
LVPes,233009,158934,51523747,Spanish,4
Vader,16289,57681,11535871,English,646
forsen,33966,164792,18534278,English,410
Papaplatte,42230,552959,23472239,German,728
StarLadder_cs_en,329195,260993,29821162,English,443
Symfuhny,45671,704327,18756705,English,800
DreamHackCS,212201,275934,28759226,English,174
Mizkif,32671,365303,13585178,English,967
Rainbow6,135471,428942,16786627,English,734
stylishnoob4,25263,124038,20638084,Japanese,526
Maximilian_DOOD,43253,133195,15517436,English,789
Trainwreckstv,49379,379973,12449595,English,959
dota2ti,483530,121422,16228039,English,662
GRONKH,100330,192000,16800930,German,613
SypherPK,130401,1118169,26996445,English,856
ZeratoR,262273,240442,31456198,French,937
SilverName,29927,108466,27464678,Russian,426
Sacriel,66781,136341,60194490,English,454
dakotaz,43397,489250,18504106,English,64
Stray228,36971,197486,23738903,Russian,427
AdmiralBulldog,16681,66513,17095676,English,468
pokimane,112160,2085831,45579002,English,196
lestream,47638,124020,25815105,French,630
ybicanoooobov,17036,101937,16237397,Russian,525
Method,148350,132108,22813009,English,422
Nightblue3,17738,175130,19181711,English,892
EsfandTV,29597,216021,24144005,English,597
shroud,471281,833587,30621257,English,660
NOBRU,132224,1400039,6781403,Portuguese,536
buster,97838,1052053,37351933,Russian,795
Scarra,27421,333090,15626904,English,812
Baiano,107069,363343,19412227,Portuguese,120
괴물쥐123 (tmxk319),71933,367486,17151766,Korean,247
WePlayEsport_RU,115737,243137,28789066,Russian,775
elded,44758,1108422,14789437,Spanish,862
LPL,146577,280538,31029241,English,159
juansguarnizo,45631,946280,12708431,Spanish,408
Rakin,51854,517248,24523589,Portuguese,451
SolaryHS,17513,35986,10445269,French,39
Cellbit,68813,547018,18105470,Portuguese,458
dota2ti_ru,457060,108438,12068376,Russian,913
uzra,14181,29752,20715640,Chinese,144
OverwatchLeague,254493,83198,27099682,English,664
Thijs,24923,68557,15548337,English,234
Swagg,74199,723082,7527027,English,271
TeePee,78741,238257,17102146,English,474
LVNDMARK,96236,244295,8815201,English,236
Agraelus,23555,132125,20334558,Czech,722
BLASTPremier,113167,315910,21104122,English,564
cloakzy,40497,558107,14533643,English,776
aceu,26141,763489,15894732,English,102
蝦愛橘子 (shuteye_orange),7441,29549,18572922,Chinese,239
Elraenn,65543,672978,20881140,Turkish,316
Elajjaz,13080,37883,12800182,English,604
CDNThe3rd,55752,167704,15136396,English,880
POW3Rtv,69009,495072,23271722,Italian,537
IzakOOO,43050,286467,23586902,Polish,585
DreadzTV,35865,57448,32228705,Russian,921
따효니 (ddahyoni),17253,46946,15586820,Korean,557
