First	Last_name	Player	AGE	EVENTS_PLAYED	AVG_CARRY_DISTANCE	STEEPEST_LAUNCH_ANGLE	FAIRWAYS_HIT	TOTAL_DRIVES
Chris	Stroud	Chris Stroud	32	27	271.9	14.76	638	816
Daniel	Berger	Daniel Berger	25	23	277.1	17.23	649	816
Kelly	Kraft	Kelly Kraft	26	31	267.3	16.19	846	1,032
Johnson	Wagner	Johnson Wagner	34	21	264.9	15.32	620	770
Ryan	Moore	Ryan Moore	37	22	263.5	12.73	787	922
Patrick	Cantlay	Patrick Cantlay	25	21	285.2	14.76	590	830
Shawn	Stefani	Shawn Stefani	35	25	280.6	14.47	585	840
David	Hearn	David Hearn	39	21	268.4	14.85	559	700
Zecheng	Dou	Zecheng Dou	21	23	273.9	14.89	374	502
Andrew	Putnam	Andrew Putnam	29	27	272.6	17.35	717	1,076
Aaron	Baddeley	Aaron Baddeley	37	27	278.2	18.49	538	920
Aaron	Wise	Aaron Wise	22	27	282.5	17.49	688	1,032
Abraham	Ancer	Abraham Ancer	27	29	275.1	16.68	811	1,158
Adam	Hadwin	Adam Hadwin	30	24	277.7	17.11	760	896
Adam	Schenk	Adam Schenk	26	28	283.0	16.1	643	920
Adam	Scott	Adam Scott	38	20	286.3	18.49	626	808
Alex	Cejka	Alex Cejka	47	24	265.8	18.47	639	836
Alex	Noren	Alex Noren	36	17	280.9	17.75	443	630
Andrew	Landry	Andrew Landry	31	26	272.2	17.81	674	1,022
Anirban	Lahiri	Anirban Lahiri	31	24	275.5	17.25	691	938
Austin	Cook	Austin Cook	27	28	273.7	17.25	958	1,288
Beau	Hossler	Beau Hossler	23	27	283.0	17.42	842	1,258
Ben	Crane	Ben Crane	42	21	260.7	16.0	557	644
Ben	Martin	Ben Martin	31	20	269.6	18.35	566	794
Ben	Silverman	Ben Silverman	30	28	270.3	16.74	769	1,062
Bill	Haas	Bill Haas	36	25	281.8	16.03	550	864
Andrew	Yun	Andrew Yun	27	22	267.8	16.54	337	476
Billy	Horschel	Billy Horschel	31	25	279.8	17.38	701	1,024
Billy	III	Billy Hurley III	36	27	263.9	15.39	529	796
Blayne	Barber	Blayne Barber	28	22	277.2	16.73	604	836
Branden	Grace	Branden Grace	30	18	278.4	16.84	531	556
Brandon	Harkins	Brandon Harkins	32	30	290.0	16.53	727	1,188
Brandt	Snedeker	Brandt Snedeker	37	24	270.9	16.34	643	976
Brendan	Steele	Brendan Steele	35	21	285.8	16.73	496	704
Brett	Stegmaier	Brett Stegmaier	35	21	279.5	15.71	498	658
Brian	Gay	Brian Gay	46	29	261.5	15.5	914	1,230
Brian	Harman	Brian Harman	31	24	271.1	16.78	764	956
Brian	Stuard	Brian Stuard	35	32	260.1	17.16	945	1,202
Brice	Garnett	Brice Garnett	35	29	277.0	16.87	816	1,130
Bronson	Burgoon	Bronson Burgoon	31	24	283.3	15.91	624	798
Brooks	Koepka	Brooks Koepka	28	15	297.0	18.02	405	648
Bubba	Watson	Bubba Watson	39	22	294.4	15.32	565	868
Bud	Cauley	Bud Cauley	25	17	282.8	15.96	450	572
Byeong	An	Byeong Hun An	28	23	292.2	14.67	632	964
C.T.	Pan	C.T. Pan	26	29	276.6	15.51	901	1,146
Cameron	Percy	Cameron Percy	44	16	276.1	15.91	445	574
Cameron	Smith	Cameron Smith	25	22	281.3	16.29	545	770
Cameron	Tringale	Cameron Tringale	33	26	278.3	14.92	458	714
Chad	Campbell	Chad Campbell	38	28	267.2	15.61	713	934
Charl	Schwartzel	Charl Schwartzel	34	20	287.4	16.77	429	556
Charles	III	Charles Howell III	39	27	279.8	16.52	802	1,032
Charley	Hoffman	Charley Hoffman	41	25	282.4	16.2	609	894
Chesson	Hadley	Chesson Hadley	31	29	283.2	16.45	773	1,216
Chez	Reavie	Chez Reavie	36	27	266.9	18.62	802	810
Chris	Kirk	Chris Kirk	34	28	270.7	16.94	911	1,340
Cody	Gribble	Cody Gribble	27	25	285.3	14.9	504	756
Conrad	Shindler	Conrad Shindler	30	20	273.4	16.38	515	616
Corey	Conners	Corey Conners	26	28	281.5	14.28	817	1,102
D.A.	Points	D.A. Points	41	25	262.1	15.77	517	674
Daniel	Summerhays	Daniel Summerhays	34	19	260.6	15.35	344	532
Danny	Lee	Danny Lee	28	30	276.6	15.95	753	978
David	Lingmerth	David Lingmerth	31	26	268.8	15.11	750	962
Denny	McCarthy	Denny McCarthy	25	22	283.7	15.77	559	686
Derek	Fathauer	Derek Fathauer	27	28	266.1	15.29	595	950
Dominic	Bozzelli	Dominic Bozzelli	26	20	279.5	14.95	504	850
Dustin	Johnson	Dustin Johnson	34	18	299.7	15.88	506	760
Emiliano	Grillo	Emiliano Grillo	25	24	276.8	15.12	842	994
Ethan	Tracy	Ethan Tracy	28	23	276.6	14.67	573	756
Fabian	Gomez	Fabian Gomez	39	28	268.5	14.14	761	990
Francesco	Molinari	Francesco Molinari	35	18	286.2	15.23	522	686
Gary	Woodland	Gary Woodland	34	25	294.9	16.02	694	866
Graeme	McDowell	Graeme McDowell	39	20	271.0	14.89	511	612
Grayson	Murray	Grayson Murray	24	22	295.2	16.12	565	828
Greg	Chalmers	Greg Chalmers	44	20	259.6	15.23	427	572
Harold	III	Harold Varner III	28	27	292.9	15.84	713	1,004
Harris	English	Harris English	29	31	288.0	14.53	643	950
Henrik	Stenson	Henrik Stenson	42	15	281.6	14.86	501	558
Hideki	Matsuyama	Hideki Matsuyama	28	19	287.6	17.04	515	690
Hudson	Swafford	Hudson Swafford	27	22	283.2	13.3	607	730
Hunter	Mahan	Hunter Mahan	36	21	281.7	13.63	573	714
