Respondent,Hobbyist,Age,CompFreq,CompTotal,Country,CurrencySymbol,EdLevel,Employment,JobSat,NEWDevOps,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWStuck,OrgSize,PlatformDesireNextYear,Gender,UndergradMajor
69.0,Yes,25.0,Yearly,550000.0,France,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once a year,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Kubernetes;Linux,Man,"Computer science, computer engineering, or software engineering"
80.0,Yes,32.0,Yearly,94500.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,"10,000 or more employees",Docker;Kubernetes;Linux;Microsoft Azure;Windows,Woman,"Information systems, information technology, or system administration"
119.0,Yes,35.0,Yearly,145000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,,No,Yes,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
128.0,Yes,23.0,Yearly,80000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Once a year,Not sure,No,No,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,Android;Docker,Woman,"Computer science, computer engineering, or software engineering"
131.0,Yes,37.0,Yearly,115000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,No,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Visit another developer community (please name):,10 to 19 employees,Arduino;AWS;Docker;Raspberry Pi;Windows,Woman,Mathematics or statistics
151.0,Yes,35.0,Monthly,20000.0,Ukraine,UAH,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Slightly dissatisfied,No,Every few months,Not sure,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,Arduino;Docker;Linux;Raspberry Pi;WordPress,Woman,"A humanities discipline (such as literature, history, philosophy, etc.)"
158.0,Yes,40.0,Yearly,170000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,500 to 999 employees,Arduino;AWS;Docker;Heroku;Linux;MacOS;Microsoft Azure,Man,"Computer science, computer engineering, or software engineering"
161.0,Yes,24.0,Monthly,2800.0,Netherlands,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity,20 to 99 employees,Android;Arduino;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows,Man,"Computer science, computer engineering, or software engineering"
170.0,Yes,26.0,Yearly,130000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Every few months,No,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;Arduino;AWS;Docker;Kubernetes;Linux;Raspberry Pi;Windows,Woman,"A humanities discipline (such as literature, history, philosophy, etc.)"
187.0,Yes,43.0,Yearly,125000.0,Canada,CAD,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Not sure,Yes,No,,"1,000 to 4,999 employees",Google Cloud Platform;Windows,Man,"A natural science (such as biology, chemistry, physics, etc.)"
