Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,participants,Total Course Hours (Thousands),% Female,% Bachelor's Degree or Higher
MITx,6.002x,09/05/2012,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",36105,418.94,11.72,60.68
MITx,6.00x,09/26/2012,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,62709,884.04,16.5,63.04
MITx,3.091x,10/09/2012,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",16663,227.55,29.68,58.76
HarvardX,CS50x,10/15/2012,Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,129400,220.9,19.98,58.78
HarvardX,PH207x,10/15/2012,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",52521,804.41,43.22,88.33
MITx,6.00x,02/04/2013,Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,65380,639.4,16.01,60.9
MITx,3.091x,02/05/2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",8270,68.11,26.7,58.99
MITx,14.73x,02/12/2013,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",29044,279.22,46.24,81.94
MITx,8.02x,02/18/2013,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",39178,380.35,14.58,56.97
HarvardX,ER22x,03/02/2013,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",58779,186.61,39.58,69.78
MITx,6.002x,03/03/2013,Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",16752,148.54,11.12,59.51
MITx,7.00x,03/05/2013,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",28535,476.84,42.21,68.15
HarvardX,CB22x,03/13/2013,The Ancient Greek Hero,"Greg Nagy, L.Muellner","Humanities, History, Design, Religion, and Education",25873,140.72,46.69,71.95
MITx,2.01x,04/15/2013,Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",8736,84.75,13.78,64.45
HarvardX,PH278x,05/15/2013,Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler","Government, Health, and Social Science",23179,110.67,48.85,75.19
MITx,8.MREV,06/01/2013,Mechanics ReView,"David Pritchard, Colin Fredericks","Science, Technology, Engineering, and Mathematics",15350,145.95,15.47,54.43
MITx,3.091x,09/01/2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",11961,95.14,26.41,54.64
HarvardX,CB22.1x,09/03/2013,The Ancient Greek Hero,Greg Nagy,"Humanities, History, Design, Religion, and Education",17604,65.56,47.89,68.75
MITx,8.01x,09/09/2013,Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",35903,452.55,16.74,51.75
MITx,7.00x,09/10/2013,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",24707,331.0,43.31,62.45
MITx,3.086x,09/16/2013,Innovation and Commercialization,Gene Fitzgerald,"Government, Health, and Social Science",25619,101.36,20.86,77.42
MITx,4.605x,09/17/2013,Global Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",17077,138.94,48.05,74.02
HarvardX,HKS211.1x,10/01/2013,"Central Challenges in American National Security, Strategy and the Press: An Introduction","Graham Allison, David Sanger","Government, Health, and Social Science",5857,12.57,33.51,73.1
MITx,24.00x,10/01/2013,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",34371,154.23,35.75,65.0
HarvardX,SPU27x,10/08/2013,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",60555,399.77,50.53,76.55
HarvardX,HSPH-HMS214x,10/14/2013,Fundamentals of Clinical Trials,"James Ware, Elliott Antman, Julie Buring, Graham McMahon, Marcia Testa, Robert Truog","Government, Health, and Social Science",28384,104.37,45.05,86.27
MITx,6.002x,10/16/2013,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",21387,117.84,10.71,57.18
MITx,6.00.1x,10/16/2013,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,57147,523.56,17.05,62.73
MITx,2.03x,10/28/2013,Dynamics and Control I,David Gossard,"Science, Technology, Engineering, and Mathematics",18424,60.99,11.4,58.89
HarvardX,SW12.1x,10/31/2013,The Political and Intellectual Foundations of China,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",47384,145.08,40.78,74.91
HarvardX,AI12.1x,10/31/2013,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",6446,13.89,59.19,69.5
HarvardX,PH201x,11/15/2013,Health and Society,Ichiro Kawachi,"Government, Health, and Social Science",20914,99.29,52.62,73.95
HarvardX,CS50x,01/01/2014,Introduction to Computer Science,David Malan,Computer Science,259577,853.36,22.11,54.82
HarvardX,SW12.2x,01/02/2014,The Creation and End of a Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",12856,68.25,39.41,79.35
HarvardX,HDS1544.1x,01/05/2014,Early Christianity: The Letters of Paul,Laura Nasrallah,"Humanities, History, Design, Religion, and Education",33784,101.83,40.65,74.15
HarvardX,AI12.2x,01/15/2014,Poetry in America: Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",8685,19.6,54.46,72.49
MITx,21W.789x,02/04/2014,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,25886,40.13,15.73,72.27
MITx,14.73x,02/04/2014,Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",11102,84.99,48.52,78.8
MITx,6.041x,02/04/2014,Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,"Science, Technology, Engineering, and Mathematics",26364,224.14,16.46,73.15
HarvardX,SW12.3x,02/13/2014,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",7422,33.76,41.03,79.4
MITx,12.340x,02/19/2014,Global Warming Science,Kerry Emanuel,"Science, Technology, Engineering, and Mathematics",7905,55.04,29.33,76.36
MITx,6.00.1x,02/19/2014,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,21063,188.51,16.49,63.46
HarvardX,SW25x,02/25/2014,Global Health: Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",8256,39.34,58.9,80.59
MITx,15.071x,03/04/2014,The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",31391,313.27,19.0,87.62
MITx,16.110x,03/05/2014,Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",11883,34.28,8.52,60.98
MITx,6.00.2x,03/05/2014,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,13148,97.28,12.1,74.21
HarvardX,GSE1x,03/11/2014,Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey","Humanities, History, Design, Religion, and Education",39319,159.84,53.63,80.08
MITx,15.390x,03/18/2014,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",36330,108.97,24.91,74.9
HarvardX,SW12.4x,03/20/2014,A New National Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",6753,34.82,39.49,80.78
HarvardX,HAA1x,03/22/2014,HarvardX for Alumni: Explorations in Learning,Rob Lue,"Humanities, History, Design, Religion, and Education",7156,7.23,43.21,98.11
HarvardX,BUS5.1x,03/31/2014,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",12621,27.85,34.51,86.02
MITx,JPAL 101x,04/01/2014,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",7382,46.04,48.64,90.32
HarvardX,PH525x,04/07/2014,Data Analysis for Genomics,Rafael Irizarry,"Government, Health, and Social Science",13708,58.19,32.34,89.69
HarvardX,HSPH210x,04/07/2014,United States Health Policy,John McDonough,"Government, Health, and Social Science",10225,47.9,48.99,82.13
HarvardX,ER22.1x,04/08/2014,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",35409,145.01,42.0,67.17
MITx,6.SFMx,04/08/2014,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",27882,56.9,15.83,66.85
HarvardX,SW12.5x,04/24/2014,From Global Empire to Global Economy,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5256,24.76,35.65,82.04
MITx,MAS.S69x,05/12/2014,Big Data and Social Physics,Sandy Pentland,"Government, Health, and Social Science",30456,34.79,19.61,81.37
MITx,3.091x,05/12/2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",5854,55.2,26.12,55.19
HarvardX,SW12.6x,05/22/2014,The Last Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5446,31.69,39.03,80.56
MITx,8.MREV,05/29/2014,Mechanics Review,David Pritchard,"Science, Technology, Engineering, and Mathematics",12939,86.76,15.8,53.49
HarvardX,USW30x,06/02/2014,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",10737,22.82,62.62,74.88
MITx,2.01x,06/03/2014,Elements of Structures,Simona Socrate,"Science, Technology, Engineering, and Mathematics",6140,62.01,14.23,64.26
